raw_row_number,date,time,location,lat,lng,geocode_source,beat,district,subject_age,subject_race,subject_sex,officer_id_hash,officer_age,officer_race,officer_sex,officer_years_of_service,unit,type,violation,arrest_made,citation_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,contraband_alcohol,contraband_other,search_conducted,search_person,search_vehicle,vehicle_make,vehicle_model,raw_race,raw_driver_race
1631723,2019-06-10,20:42:00,49XX N KEDZIE AVE,41.88224567000003,-87.70609913999995,SU,1713.0,17.0,35.0,hispanic,male,,,,,,17.0,vehicular,REGISTRATION PLATES,,,,,,,False,,False,False,False,"TOYOTA MOTOR COMPANY, LTD.",UNKNOWN,HISPANIC,
661574,2016-04-21,22:00:00,1300 WELLS ST N,41.90572720000001,-87.63454809999998,GM,,,,,female,,,black,female,8.0,,vehicular,STOP AT STOP SIGN,,True,citation,,,,False,,False,False,False,,,,
833584,2016-05-28,21:00:00,6100 CALIFORNIA AVE N,41.99231,-87.69980199999998,GM,,,,,male,,,white,female,11.0,,vehicular,HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,,True,citation,,,,False,,False,False,False,,,,
887927,2018-02-02,21:50:00,14XX N PULASKI RD,41.88123541900006,-87.72572804699995,SU,2534.0,25.0,32.0,black,male,,,,,,25.0,vehicular,SEAT SAFETY BELT-FRONT SEAT,,,,,,,False,,False,False,False,"TOYOTA MOTOR COMPANY, LTD.",CAMRY,BLACK,
799927,2014-11-07,01:00:00,750 CORNELIA AVE W,41.9456196,-87.64900449999998,GM,,,,,male,,,hispanic,female,7.0,,vehicular,ONE WAY STREET/ALLEY SIGNS POSTED,,True,citation,,,,False,,False,False,False,,,,
484030,2014-10-20,02:00:00,7218 STONY ISLAND AVE S,41.756191,-87.5853209,GM,,,,,male,,,black,female,8.0,,vehicular,STOP AT STOP SIGN,,True,citation,,,,False,,False,False,False,,,,
1787526,2019-09-07,20:37:00,9XX W 71ST ST,41.76529944600003,-87.62530671599994,SU,733.0,7.0,45.0,black,female,,,,,,7.0,vehicular,"SEAT BELTS/1ST,2ND",,,,,,,False,,False,False,False,CHEVROLET,EQUINOX,BLACK,
492664,2015-03-05,12:00:00,7100 STONY ISLAND AVE S,41.7660162,-87.58631919999998,GM,,,,,female,,,black,male,2.0,,vehicular,DRIVING WHILE USING CELLULAR PHONE PROHIBITED,,True,citation,,,,False,,False,False,False,,,,
1766106,2019-08-27,16:54:00,7XX W 87TH ST,41.736232760000064,-87.62572495499997,SU,2223.0,22.0,25.0,black,male,,,,,,22.0,vehicular,DISPLAY ST REG-FRONT/REAR,,,,,,,False,,False,False,False,CHEVROLET/MALIBU (CHEVELLE),CHEVROLET/MALIBU (CHEVELLE),BLACK,
525611,2016-12-12,05:00:00,10000 INDIANAPOLIS AVE S,41.7082292,-87.53040779999998,GM,,,,,male,,,hispanic,female,11.0,,vehicular,DISOBEY RED CIRCULAR STEADY SIGNAL STOP,,True,citation,,,,False,,False,False,False,,,,
790015,2013-03-11,10:00:00,3600 LAKE SHORE DR SB S,41.9489835,-87.6442335,GM,,,,,female,,,black,female,22.0,,vehicular,IVC - DRIVING 21-25 MPH ABOVE SPEED LIMIT,,True,citation,,,,False,,False,False,False,,,,
1548332,2019-04-24,22:53:00,2XX S KEDZIE AVE,41.88091861300006,-87.70616679099999,SU,1124.0,11.0,36.0,black,male,,,,,,11.0,vehicular,IVC - NOT WEARING SEAT BELT/PASSENGER,,,,,,,False,,False,False,False,NISSAN,UNKNOWN,BLACK,
796047,2013-02-18,23:00:00,3300 55TH ST W,41.7936848,-87.7061975,GM,,,,,male,,,white,male,5.0,,vehicular,HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,,True,citation,,,,False,,False,False,False,,,,
1888075,2019-11-13,00:31:00,17XX W 47TH ST,41.80915128200007,-87.62675083799995,SU,924.0,9.0,34.0,hispanic,male,,,,,,9.0,vehicular,"LIGHT, LICENSE PLATE",,,,,,,False,,False,False,False,BUICK,Rendezvous,HISPANIC,
7861,2012-02-28,20:00:00,1300 ROOSEVELT W,41.86708560300008,-87.65919584299995,SU,,,23.0,black,female,d647394f8f,,white,male,11.0,,vehicular,IVC - FAIL TO YIELD-LEFT TURN,True,,arrest,,,,False,,False,False,False,,,BLACK,
1914871,2019-11-30,23:23:00,16XX W DIVISION ST,41.90402016500008,-87.62930973399996,SU,1213.0,12.0,44.0,hispanic,male,,,,,,14.0,vehicular,HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,,,,,,,False,,False,False,False,DODGE,CARAVAN,HISPANIC,
660007,2015-10-03,03:00:00,9300 COLFAX AVE S,41.7262679,-87.56081490000004,GM,,,,,male,,,hispanic,female,5.0,,vehicular,INSURANCE - OPERATE MTR VEHICLE WITHOUT,,True,citation,,,,False,,False,False,False,,,,
